NUMBER,STATION,LAT,LON,BIKE,DOCK,ADDRESS,STREET,CITY,ZIP
1,Athenaeum,39.77383,-86.15043,6,5,"401 E. Michigan St., Indianapolis, IN 46204",401 E. Michigan St.,"Indianapolis, IN",46204
2,Bankers Life Fieldhouse,39.76481,-86.1565,8,9,"169 S. Pennsylvania St., Indianapolis, IN 46204",169 S. Pennsylvania St.,"Indianapolis, IN",46204
3,Central Library,39.77803,-86.15631,3,6,"40 E. St. Clair St., Indianapolis, IN 46204",40 E. St. Clair St.,"Indianapolis, IN",46204
4,City County Building,39.76722,-86.15416,4,10,"200 E. Washington St., Indianapolis, IN 46204",200 E. Washington St.,"Indianapolis, IN",46204
5,City Market,39.76866,-86.15284,5,17,"108 N. Alabama St., Indianapolis, IN 46204",108 N. Alabama St.,"Indianapolis, IN",46204
6,Convention Center - Maryland and Capitol,39.76593,-86.16216,8,6,"50 S. Capitol Ave., Indianapolis, IN 46225",50 S. Capitol Ave.,"Indianapolis, IN",46225
7,Convention Center at Georgia Street,39.76423,-86.16161,14,9,"151 W. Georgia St., Indianapolis, IN 46225",151 W. Georgia St.,"Indianapolis, IN",46225
8,Fletcher Place - Virginia and Merrill,39.75893,-86.147,7,2,"531 Virginia Ave., Indianapolis, IN 46203",531 Virginia Ave.,"Indianapolis, IN",46203
9,Fletcher Place - Virginia and Norwood,39.7574,-86.14549,5,6,"749 Virginia Ave., Indianapolis, IN 46203",749 Virginia Ave.,"Indianapolis, IN",46203
10,Fountain Square,39.75241,-86.13995,5,7,"1066 Virginia Ave., Indianapolis, IN 46225",1066 Virginia Ave.,"Indianapolis, IN",46225
11,Glick Peace Walk,39.77669,-86.16119,5,2,"625 N. Capitol Ave., Indianapolis, IN 46204",625 N. Capitol Ave.,"Indianapolis, IN",46204
12,Indiana Government Center,39.76737,-86.16474,6,3,"364 W. Washington St., Indianapolis, IN 46204",364 W. Washington St.,"Indianapolis, IN",46204
13,IUPUI Campus Center,39.77338,-86.17543,6,10,"401 University Blvd., Indianapolis, IN 46202",401 University Blvd.,"Indianapolis, IN",46202
14,Mass Ave and Alabama,39.77224,-86.1526,6,11,"372 N. Alabama St., Indianapolis, IN 46204",372 N. Alabama St.,"Indianapolis, IN",46204
15,Mass Ave and Park,39.77643,-86.14727,7,4,"680 Massachusetts Ave., Indianapolis, IN 46204",680 Massachusetts Ave.,"Indianapolis, IN",46204
16,Michigan and Blackford,39.77475,-86.16984,3,6,"525 N. Blackford St., Indianapolis, IN 46202",525 N. Blackford St.,"Indianapolis, IN",46202
17,Michigan and Senate,39.77418,-86.16348,3,8,"300 N. Michigan St., Indianapolis, IN 46202",300 N. Michigan St.,"Indianapolis, IN",46202
18,Monument Circle,39.76885,-86.15736,9,6,"121 Monument Circle, Indianapolis, IN 46201",121 Monument Circle,"Indianapolis, IN",46201
19,North and Alabama,39.77564,-86.15217,9,2,"605 N. Alabama St., Indianapolis, IN 46204",605 N. Alabama St.,"Indianapolis, IN",46204
20,North End of Canal,39.78179,-86.1659,6,3,"1325 Canal Walk, Indianapolis, IN 46202",1325 Canal Walk,"Indianapolis, IN",46202
21,North End of Mass Ave,39.77964,-86.14212,8,3,"949 Massachusetts Ave., Indianapolis, IN 46202",949 Massachusetts Ave.,"Indianapolis, IN",46202
22,Victory Field,39.76595,-86.16689,12,7,"99 S. West St., Indianapolis, IN 46225",99 S. West St.,"Indianapolis, IN",46225
23,Washington and Illinois,39.76702,-86.16016,6,3,"101 W. Washington St., Indianapolis, IN 46204",101 W. Washington St.,"Indianapolis, IN",46204
24,Washington and Meridian,39.7672,-86.15832,8,3,"2 W. Washington St., Indianapolis, IN 46204",2 W. Washington St.,"Indianapolis, IN",46204
25,White River State Park,39.76832,-86.17027,13,10,"650 S. Washington St., Indianapolis, IN 46204",650 S. Washington St.,"Indianapolis, IN",46204
